Bib	Name	First name	Last name	Category	Gender	Time	Lap 1	Lap 2	Lap 3	Lap 4	Lap 5	Lap 6	Lap 7	Lap 8	Lap 9	Lap 10	Lap 11	Lap 12	Lap 13	Lap 14	Lap 15	Start	Split 1	Split 2	Split 3	Split 4	Split 5	Split 6	Split 7	Split 8	Split 9	Split 10	Split 11	Split 12	Split 13	Split 14	Split 15
49	Nate Jaqua	Nate	Jaqua	40-49	Male	21:45:02	1:21:51	1:01:52	1:23:49	1:28:21	1:07:30	1:29:03	1:32:38	1:09:08	1:31:08	1:42:33	1:16:01	1:46:37	1:50:03	1:22:22	1:42:05	-	1:21:51	2:23:44	3:47:33	5:15:53	6:23:23	7:52:27	9:25:04	10:34:12	12:05:21	13:47:54	15:03:55	16:50:33	18:40:36	20:02:58	21:45:03
53	Tyler Juza	Tyler	Juza	30-39	Male	22:13:28	1:12:27	0:58:04	1:18:24	1:31:04	1:09:38	1:30:32	1:35:10	1:17:14	1:36:55	1:43:42	1:22:23	1:45:55	1:54:01	1:27:13	1:50:43	-	1:12:28	2:10:32	3:28:56	5:00:00	6:09:38	7:40:11	9:15:21	10:32:35	12:09:31	13:53:13	15:15:36	17:01:31	18:55:32	20:22:45	22:13:28
104	Riley Robertson	Riley	Robertson	30-39	Male	22:33:08	1:22:36	1:02:51	1:20:07	1:26:32	1:10:59	1:32:53	1:37:13	1:14:24	1:38:08	1:43:40	1:19:54	1:51:58	1:56:35	1:26:14	1:49:05	-	1:22:37	2:25:28	3:45:34	5:12:06	6:23:05	7:55:57	9:33:10	10:47:34	12:25:42	14:09:22	15:29:16	17:21:14	19:17:49	20:44:03	22:33:08
106	Michito Sawa	Michito	Sawa	40-49	Male	23:25:37	1:26:11	0:59:23	1:22:10	1:28:19	1:04:41	1:29:24	1:42:11	1:14:48	1:40:29	1:51:52	1:19:49	1:52:41	2:05:28	1:30:49	2:17:21	-	1:26:11	2:25:34	3:47:45	5:16:04	6:20:45	7:50:09	9:32:21	10:47:08	12:27:37	14:19:30	15:39:19	17:32:00	19:37:28	21:08:16	23:25:37
19	Alyssa Clark	Alyssa	Clark	30-39	Female	23:26:32	1:21:08	1:04:16	1:30:17	1:34:30	1:10:33	1:31:45	1:35:31	1:13:38	1:41:48	1:49:07	1:23:48	1:53:07	2:01:40	1:32:26	2:02:57	-	1:21:09	2:25:25	3:55:42	5:30:12	6:40:45	8:12:31	9:48:02	11:01:40	12:43:29	14:32:35	15:56:23	17:49:30	19:51:10	21:23:36	23:26:33
80	Oskar Michalak	Oskar	Michalak	40-49	Male	24:49:51	1:17:29	1:00:24	1:22:29	1:30:26	1:16:10	1:42:35	1:56:39	1:22:52	1:48:40	1:58:19	1:36:46	2:06:12	2:23:37	1:36:42	1:50:30	-	1:17:29	2:17:53	3:40:22	5:10:48	6:26:59	8:09:34	10:06:13	11:29:05	13:17:45	15:16:03	16:52:50	18:59:02	21:22:39	22:59:21	24:49:51
27	Ian Farris	Ian	Farris	40-49	Male	25:16:59	1:40:16	1:12:14	1:37:24	1:41:51	1:13:03	1:37:59	1:45:55	1:19:44	1:49:55	1:54:50	1:22:13	1:51:06	2:11:35	1:41:58	2:16:55	-	1:40:17	2:52:31	4:29:54	6:11:45	7:24:48	9:02:47	10:48:43	12:08:27	13:58:23	15:53:13	17:15:26	19:06:31	21:18:06	23:00:04	25:16:59
136	Takeshi Yamada	Takeshi	Yamada	50-59	Male	25:39:49	1:30:44	1:09:48	1:34:14	1:39:35	1:14:53	1:42:53	1:52:49	1:23:59	1:49:32	2:00:33	1:32:43	2:04:11	2:16:37	1:40:04	2:07:13	-	1:30:45	2:40:32	4:14:46	5:54:21	7:09:14	8:52:07	10:44:56	12:08:55	13:58:27	15:59:00	17:31:43	19:35:54	21:52:32	23:32:36	25:39:49
121	Andrea Tarras	Andrea	Tarras	40-49	Female	25:51:10	1:34:40	1:14:46	1:40:22	1:50:37	1:26:20	1:54:49	2:06:52	1:17:57	1:52:01	1:52:29	1:30:11	1:59:21	1:59:23	1:32:30	1:58:52	-	1:34:41	2:49:27	4:29:49	6:20:25	7:46:45	9:41:35	11:48:26	13:06:23	14:58:25	16:50:53	18:21:04	20:20:25	22:19:48	23:52:18	25:51:10
43	Isaiah Hemmen	Isaiah	Hemmen	40-49	Male	26:17:18	1:31:34	1:08:54	1:33:59	1:42:21	1:20:55	1:44:01	1:54:01	1:29:21	1:58:18	2:09:15	1:37:03	2:09:07	2:16:27	1:39:47	2:02:15	-	1:31:34	2:40:28	4:14:27	5:56:48	7:17:43	9:01:44	10:55:45	12:25:06	14:23:25	16:32:40	18:09:42	20:18:50	22:35:17	24:15:03	26:17:18
20	Nathan Cogswell	Nathan	Cogswell	40-49	Male	26:49:26	1:36:45	1:15:08	1:36:03	1:44:46	1:19:32	1:47:29	1:53:49	1:28:36	1:57:15	2:11:07	1:33:13	2:12:26	2:19:52	1:45:11	2:08:14	-	1:36:45	2:51:54	4:27:57	6:12:43	7:32:15	9:19:44	11:13:32	12:42:09	14:39:23	16:50:31	18:23:44	20:36:09	22:56:02	24:41:12	26:49:26
